period,year,month,carrier,technology,lines
2018.07,2018,7,합계,xDSL,754525
2018.07,2018,7,합계,LAN,8589350
2018.07,2018,7,합계,HFC,3761752
2018.07,2018,7,합계,FTTH,7909090
2018.07,2018,7,KT,xDSL,516905
2018.07,2018,7,KT,LAN,3192237
2018.07,2018,7,KT,HFC,0
2018.07,2018,7,KT,FTTH,4956752
2018.07,2018,7,SK브로드밴드,xDSL,90541
2018.07,2018,7,SK브로드밴드,LAN,1015805
2018.07,2018,7,SK브로드밴드,HFC,406577
2018.07,2018,7,SK브로드밴드,FTTH,911177
2018.07,2018,7,SKT(재판매),xDSL,125211
2018.07,2018,7,SKT(재판매),LAN,1376362
2018.07,2018,7,SKT(재판매),HFC,399336
2018.07,2018,7,SKT(재판매),FTTH,880530
2018.07,2018,7,LG U+,xDSL,0
2018.07,2018,7,LG U+,LAN,2042267
2018.07,2018,7,LG U+,HFC,923175
2018.07,2018,7,LG U+,FTTH,1005557
2018.07,2018,7,종합유선,xDSL,21063
2018.07,2018,7,종합유선,LAN,952180
2018.07,2018,7,종합유선,HFC,2029599
2018.07,2018,7,종합유선,FTTH,152463
2018.07,2018,7,기타,xDSL,805
2018.07,2018,7,기타,LAN,10499
2018.07,2018,7,기타,HFC,3065
2018.07,2018,7,기타,FTTH,2611
2018.08,2018,8,합계,xDSL,740145
2018.08,2018,8,합계,LAN,8616936
2018.08,2018,8,합계,HFC,3757552
2018.08,2018,8,합계,FTTH,7944387
2018.08,2018,8,KT,xDSL,506113
2018.08,2018,8,KT,LAN,3198670
2018.08,2018,8,KT,HFC,0
2018.08,2018,8,KT,FTTH,4972128
2018.08,2018,8,SK브로드밴드,xDSL,88845
2018.08,2018,8,SK브로드밴드,LAN,1019278
2018.08,2018,8,SK브로드밴드,HFC,400832
2018.08,2018,8,SK브로드밴드,FTTH,913923
2018.08,2018,8,SKT(재판매),xDSL,123620
2018.08,2018,8,SKT(재판매),LAN,1385585
2018.08,2018,8,SKT(재판매),HFC,398656
2018.08,2018,8,SKT(재판매),FTTH,886551
2018.08,2018,8,LG U+,xDSL,0
2018.08,2018,8,LG U+,LAN,2051841
2018.08,2018,8,LG U+,HFC,923783
2018.08,2018,8,LG U+,FTTH,1015315
2018.08,2018,8,종합유선,xDSL,20763
2018.08,2018,8,종합유선,LAN,951398
2018.08,2018,8,종합유선,HFC,2031246
2018.08,2018,8,종합유선,FTTH,153848
2018.08,2018,8,기타,xDSL,804
2018.08,2018,8,기타,LAN,10164
2018.08,2018,8,기타,HFC,3035
2018.08,2018,8,기타,FTTH,2622
2018.09,2018,9,합계,xDSL,729705
2018.09,2018,9,합계,LAN,8652671
2018.09,2018,9,합계,HFC,3734671
2018.09,2018,9,합계,FTTH,7988878
2018.09,2018,9,KT,xDSL,498879
2018.09,2018,9,KT,LAN,3207740
2018.09,2018,9,KT,HFC,0
2018.09,2018,9,KT,FTTH,4991194
2018.09,2018,9,SK브로드밴드,xDSL,87459
2018.09,2018,9,SK브로드밴드,LAN,1019648
2018.09,2018,9,SK브로드밴드,HFC,397713
2018.09,2018,9,SK브로드밴드,FTTH,922504
2018.09,2018,9,SKT(재판매),xDSL,122124
2018.09,2018,9,SKT(재판매),LAN,1396155
2018.09,2018,9,SKT(재판매),HFC,399368
2018.09,2018,9,SKT(재판매),FTTH,893506
2018.09,2018,9,LG U+,xDSL,0
2018.09,2018,9,LG U+,LAN,2061503
2018.09,2018,9,LG U+,HFC,924900
2018.09,2018,9,LG U+,FTTH,1024051
2018.09,2018,9,종합유선,xDSL,20657
2018.09,2018,9,종합유선,LAN,957256
2018.09,2018,9,종합유선,HFC,2009716
2018.09,2018,9,종합유선,FTTH,154784
2018.09,2018,9,기타,xDSL,586
2018.09,2018,9,기타,LAN,10369
2018.09,2018,9,기타,HFC,2974
2018.09,2018,9,기타,FTTH,2839
2018.10,2018,10,합계,xDSL,717865
2018.10,2018,10,합계,LAN,8642498
2018.10,2018,10,합계,HFC,3539729
2018.10,2018,10,합계,FTTH,8219947
2018.10,2018,10,KT,xDSL,490948
2018.10,2018,10,KT,LAN,3214636
2018.10,2018,10,KT,HFC,0
2018.10,2018,10,KT,FTTH,5008652
2018.10,2018,10,SK브로드밴드,xDSL,85810
2018.10,2018,10,SK브로드밴드,LAN,1020769
2018.10,2018,10,SK브로드밴드,HFC,393258
2018.10,2018,10,SK브로드밴드,FTTH,926613
2018.10,2018,10,SKT(재판매),xDSL,120333
2018.10,2018,10,SKT(재판매),LAN,1405604
2018.10,2018,10,SKT(재판매),HFC,398819
2018.10,2018,10,SKT(재판매),FTTH,899905
2018.10,2018,10,LG U+,xDSL,0
2018.10,2018,10,LG U+,LAN,2031083
2018.10,2018,10,LG U+,HFC,747583
2018.10,2018,10,LG U+,FTTH,1226852
2018.10,2018,10,종합유선,xDSL,20185
2018.10,2018,10,종합유선,LAN,960173
2018.10,2018,10,종합유선,HFC,1997109
2018.10,2018,10,종합유선,FTTH,155140
2018.10,2018,10,기타,xDSL,589
2018.10,2018,10,기타,LAN,10233
2018.10,2018,10,기타,HFC,2960
2018.10,2018,10,기타,FTTH,2785
2018.11,2018,11,합계,xDSL,706694
2018.11,2018,11,합계,LAN,8670624
2018.11,2018,11,합계,HFC,3515294
2018.11,2018,11,합계,FTTH,8265566
2018.11,2018,11,KT,xDSL,483328
2018.11,2018,11,KT,LAN,3216273
2018.11,2018,11,KT,HFC,0
2018.11,2018,11,KT,FTTH,5022891
2018.11,2018,11,SK브로드밴드,xDSL,84278
2018.11,2018,11,SK브로드밴드,LAN,1023263
2018.11,2018,11,SK브로드밴드,HFC,388451
2018.11,2018,11,SK브로드밴드,FTTH,930770
2018.11,2018,11,SKT(재판매),xDSL,118629
2018.11,2018,11,SKT(재판매),LAN,1416181
2018.11,2018,11,SKT(재판매),HFC,397774
2018.11,2018,11,SKT(재판매),FTTH,907068
2018.11,2018,11,LG U+,xDSL,0
2018.11,2018,11,LG U+,LAN,2041237
2018.11,2018,11,LG U+,HFC,740648
2018.11,2018,11,LG U+,FTTH,1245643
2018.11,2018,11,종합유선,xDSL,19876
2018.11,2018,11,종합유선,LAN,963366
2018.11,2018,11,종합유선,HFC,1985451
2018.11,2018,11,종합유선,FTTH,156395
2018.11,2018,11,기타,xDSL,583
2018.11,2018,11,기타,LAN,10304
2018.11,2018,11,기타,HFC,2970
2018.11,2018,11,기타,FTTH,2799
2018.12,2018,12,합계,xDSL,696779
2018.12,2018,12,합계,LAN,8673929
2018.12,2018,12,합계,HFC,3480803
2018.12,2018,12,합계,FTTH,8303197
2018.12,2018,12,KT,xDSL,477094
2018.12,2018,12,KT,LAN,3218835
2018.12,2018,12,KT,HFC,0
